subjec1 ID,ID,Result,Reviewer,Type,Criterion
Subj_03,3,1,3,50,3
Subj_04,4,1,3,50,3
Subj_05,5,0,3,50,3
Subj_06,6,1,3,50,3
Subj_07,7,1,3,50,3
Subj_08,8,0,3,50,3
Subj_09,9,0,3,50,3
Subj_10,10,0,3,50,3
Subj_11,11,0,3,50,3
Subj_12,12,0,3,50,3
Subj_14,14,0,3,50,3
Subj_16,16,1,3,50,3
Subj_17,17,0,3,50,3
Subj_18,18,1,3,50,3
Subj_19,19,1,3,50,3
Subj_21,21,1,3,50,3
Subj_22,22,0,3,50,3
Subj_24,24,0,3,50,3
Subj_25,25,1,3,50,3
Subj_26,26,1,3,50,3
Subj_27,27,1,3,50,3
Subj_30,30,0,3,50,3
Subj_31,31,1,3,50,3
Subj_32,32,0,3,50,3
Subj_33,33,1,3,50,3
Subj_35,35,1,3,50,3
Subj_37,37,1,3,50,3
Subj_39,39,1,3,50,3
Subj_40,40,1,3,50,3
Subj_41,41,1,3,50,3
Subj_43,43,1,3,50,3
Subj_45,45,0,3,50,3
Subj_46,46,0,3,50,3
Subj_48,48,0,3,50,3
Subj_49,49,1,3,50,3
Subj_50,50,1,3,50,3
Subj_51,51,1,3,50,3
Subj_52,52,1,3,50,3
Subj_53,53,1,3,50,3
Subj_55,55,0,3,50,3
Subj_56,56,0,3,50,3
Subj_58,58,1,3,50,3
